Element Id,Category,Type Name,Family Name,X,Y,Z,CED-E-MCA,CED-E-MOCP,MCA_CED,MOCP_CED
4918762,Mechanical Equipment,5 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,214.56213068426956,71.438630168713999,100.00000000000077,,,,
4918763,Mechanical Equipment,5 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,214.57343367160627,84.219880168713999,100.00000000000077,,,,
4918764,Mechanical Equipment,5 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,214.57343367160624,97.001130168713999,100.00000000000077,,,,
4918765,Mechanical Equipment,2 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,214.57343367160621,105.98002349016579,100.00000000000077,,,,
4918773,Mechanical Equipment,5 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,236.46054454212185,58.657380168714063,100.00000000000077,,,,
4918774,Mechanical Equipment,5 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,236.47184752945861,71.438630168713942,100.00000000000077,,,,
4918775,Mechanical Equipment,5 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,236.46054454212191,84.219880168713942,100.00000000000077,,,,
4918776,Mechanical Equipment,5 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,236.46054454212194,97.001130168713942,100.00000000000077,,,,
4918777,Mechanical Equipment,2 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,236.46054454212197,105.98002349016575,100.00000000000077,,,,
4918778,Mechanical Equipment,5 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,231.86510033827324,58.657380168714063,100.00000000000077,,,,
4918779,Mechanical Equipment,5 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,231.85379735093647,71.438630168713942,100.00000000000077,,,,
4918780,Mechanical Equipment,5 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,231.86510033827318,84.219880168713942,100.00000000000077,,,,
4918781,Mechanical Equipment,5 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,231.86510033827315,97.001130168713942,100.00000000000077,,,,
4918782,Mechanical Equipment,2 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,231.86510033827312,105.98002349016573,100.00000000000077,,,,
4918801,Mechanical Equipment,5 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,185.08554454212077,58.746861624370375,100.00000000000077,,,,
4918802,Mechanical Equipment,5 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,185.09684752945753,71.528111624370254,100.00000000000077,,,,
4918803,Mechanical Equipment,5 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,185.08554454212083,84.309361624370254,100.00000000000077,,,,
4918804,Mechanical Equipment,5 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,185.08554454212086,97.090611624370254,100.00000000000077,,,,
4918811,Mechanical Equipment,5 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,185.08554454212089,109.87186162437042,100.00000000000077,,,,
4918863,Mechanical Equipment,3 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,185.08554454212091,120.11665329103714,100.00000000000077,,,,
4918883,Mechanical Equipment,Default,CED-R-Zero Zone DOOR 6 INLINE,184.80024577471951,130.2208199577027,100.00000000000077,,,,
4918899,Mechanical Equipment,Default,CED-R-Zero Zone DOOR 6 INLINE,184.80024577471954,142.22081995770276,100.00000000000077,,,,
4918964,Mechanical Equipment,Default,CED-R-Zero Zone DOOR 6 INLINE,184.80024577471957,154.2208199577027,100.00000000000077,,,,
4919029,Mechanical Equipment,Default,CED-R-Zero Zone DOOR 6 INLINE,184.8002457747196,166.22081995770264,100.00000000000077,,,,
4919066,Mechanical Equipment,Default,CED-R-Zero Zone DOOR 6 INLINE,184.80024577471963,178.22081995770262,100.00000000000077,,,,
4919093,Mechanical Equipment,Default,CED-R-Zero Zone DOOR 6 INLINE,184.80024577471966,190.22081995770262,100.00000000000077,,,,
4919146,Mechanical Equipment,Default,CED-R-Zero Zone DOOR 6 INLINE,184.80024577471968,202.22081995770256,100.00000000000077,,,,
4919212,Mechanical Equipment,8',CED-R-Hussmann ID5SL,173.75116592002877,212.70976841029631,100.00000000000077,,,,
4919222,Mechanical Equipment,8',CED-R-Hussmann ID5SL,165.75116592002877,212.70976841029648,100.00000000000077,,,,
4919268,Mechanical Equipment,12',CED-R-Hussmann ID5SL,155.75116592002877,212.70976841029668,100.00000000000077,,,,
4924447,Mechanical Equipment,Default,CED-R-Hussmann 90 OS WEDGE ID5SL,147.46087953880385,212.17916601899435,100.00000000000077,,,,
4924457,Mechanical Equipment,12',CED-R-Hussmann ID5SL,147.10672486134214,203.89105145255712,100.00000000000077,,,,
4924463,Mechanical Equipment,Q3-DV 12',CED-R-Hussmann Q3DV,145.22971830410569,197.59027020255607,100.00000000000077,,,,
4924473,Mechanical Equipment,Q3-DV 12',CED-R-Hussmann Q3DV,145.229652067888,185.59027421719705,100.00000000000077,,,,
4924511,Mechanical Equipment,Q3-DV 12',CED-R-Hussmann Q3DV,145.16618259172134,128.76425320977086,100.00000000000077,,,,
4924598,Mechanical Equipment,8',CED-R-Hussmann ID5SL,146.99613899191257,108.03508654310313,100.00000000000077,,,,
4924604,Mechanical Equipment,2 DR,CED-R-Hussmann_Multi-Door Case_RL - Righthand Door,146.99613899191255,101.17050320976976,100.00000000000077,,,,
4924610,Mechanical Equipment,Default,CED-R-Hussmann Q3SP 4FT W GLASS SHELF,147.25196436907069,91.505154874521295,100.00000000000077,,,,
4924620,Mechanical Equipment,Default,CED-R-Hussmann Q3SP 45 Wedge,149.05585823264383,89.411404874521239,100.00000000000077,,,,
4924635,Mechanical Equipment,8',CED-R-Hussmann ID5SL,165.80360369019732,87.047220327094053,100.00000000000077,,,,
4924644,Mechanical Equipment,8',CED-R-Hussmann ID5SL,173.82443702352967,87.047220327094053,100.00000000000077,,,,
4924650,Mechanical Equipment,8',CED-R-Hussmann ID5SL,179.76974734490582,80.430238486034924,100.00000000000077,,,,
4924660,Mechanical Equipment,12',CED-R-Hussmann ID5SL,179.7697473449058,70.404196819369247,100.00000000000077,,,,
4924663,Mechanical Equipment,12',CED-R-Hussmann ID5SL,179.76974734490574,58.372946819369261,100.00000000000077,,,,
4924669,Mechanical Equipment,8',CED-R-Hussmann ID5SL,182.29099264554188,49.823621724078812,100.00000000000077,,,,
4924679,Mechanical Equipment,END CAP,CED-R-Carter TC,165.10912790957929,48.080340363712644,100.00000000000077,,,,
4924682,Mechanical Equipment,END CAP,CED-R-Carter TC,152.21783150128567,48.080340363712644,100.00000000000077,,,,
4924685,Mechanical Equipment,END CAP,CED-R-Carter TC,152.2292824089497,75.226653351341781,100.00000000000077,,,,
4924688,Mechanical Equipment,END CAP,CED-R-Carter TC,165.12057881724331,75.226653351341781,100.00000000000077,,,,
4924697,Mechanical Equipment,CED-R-Hussmann 19FT RH CUTFRUIT,CED-R-Hussmann 19FT RH CUTFRUIT,101.51449608768736,70.682589835811797,100.00000000000077,,,,
4924730,Mechanical Equipment,6 FT,CED-R-Hussmann Q2-SSN-6R,108.32562612838836,90.181819628124885,100.00000000000077,,,,
4924731,Mechanical Equipment,10 FT,CED-R-Hussmann Q2-SSN-90OR WEDGE,114.32562612838727,90.181819628126178,100.00000000000077,,,,
4924745,Mechanical Equipment,Default,CED-R-Hussmann 6ft DSFM w Canopy,70.254756861356697,111.67793135746004,100.00000000000077,,,,
4924746,Mechanical Equipment,Default,CED-R-Hussmann DSFM-EP 45 degree,75.502752057596297,111.52787069434027,100.00000000000077,,,,
4924747,Mechanical Equipment,Default,CED-R-Hussmann 6ft DSFM w Canopy,79.098073484401127,115.34646788201941,100.00000000000077,,,,
4924748,Mechanical Equipment,Default,CED-R-Hussmann DSFM-EP 45 degree,82.935961260883161,118.94339176126678,100.00000000000077,,,,
4924763,Mechanical Equipment,8 FT,CED-R-Hussmann Q3SS,95.888599673152385,148.7266440883065,100.00000000000077,,,,
4924764,Mechanical Equipment,8 FT,CED-R-Hussmann Q3SS,103.88859967315044,168.33081075497569,100.00000000000077,,,,
4924765,Mechanical Equipment,12 FT,CED-R-Hussmann Q3SS,95.784981602772447,164.51597494123459,100.00000000000077,,,,
4924766,Mechanical Equipment,12 FT,CED-R-Hussmann Q3SS,103.95219686572997,152.50789408830792,100.00000000000077,,,,
4924808,Mechanical Equipment,8 FT,CED-R-Hussmann Q3SS,110.95720161521182,148.39331075497148,100.00000000000077,,,,
4924809,Mechanical Equipment,8 FT,CED-R-Hussmann Q3SS,118.95720161520987,167.99747742164067,100.00000000000077,,,,
4924810,Mechanical Equipment,12 FT,CED-R-Hussmann Q3SS,110.85358354483188,164.18264160789957,100.00000000000077,,,,
4924811,Mechanical Equipment,12 FT,CED-R-Hussmann Q3SS,119.0207988077894,152.1745607549729,100.00000000000077,,,,
4924823,Mechanical Equipment,8 FT,CED-R-Hussmann Q3SS,126.12386828187806,148.39152353752073,100.00000000000077,,,,
4924824,Mechanical Equipment,8 FT,CED-R-Hussmann Q3SS,134.1238682818761,167.99569020418991,100.00000000000077,,,,
4924825,Mechanical Equipment,12 FT,CED-R-Hussmann Q3SS,126.02025021149812,164.18085439044881,100.00000000000077,,,,
4924826,Mechanical Equipment,12 FT,CED-R-Hussmann Q3SS,134.18746547445565,152.17277353752215,100.00000000000077,,,,
4924834,Mechanical Equipment,8 FT,CED-R-Hussmann Q3SS,133.24101713998158,179.01113808286567,100.00000000000077,,,,
4924849,Mechanical Equipment,12 FT,CED-R-Hussmann Q3SS,129.04018944538325,179.01113808286442,100.00000000000077,,,,
4924852,Mechanical Equipment,12 FT,CED-R-Hussmann Q3SS,133.16573804167189,179.01113808286442,100.00000000000077,,,,
4924858,Mechanical Equipment,8 FT,CED-R-Hussmann Q3SS,125.2813703261096,199.01113808286351,100.00000000000077,,,,
4924859,Mechanical Equipment,8 FT,CED-R-Hussmann Q3SS,133.16573804167191,191.01113808286536,100.00000000000077,,,,
4924879,Mechanical Equipment,8 FT,CED-R-Hussmann Q3SS,125.17851713998365,199.09447141619651,100.00000000000077,,,,
4924897,Mechanical Equipment,Default,CED-R-Hussmann FWE,100.06211071943778,178.80639905507439,100.00000000000077,,,,
4924899,Mechanical Equipment,FW 8',CED-R-Hussmann FW12,100.0777357194378,182.81564880302426,100.00000000000077,,,,
4924919,Mechanical Equipment,FW 8',CED-R-Hussmann FW12,100.07870225157143,190.86366235664309,100.00000000000077,,,,
4924974,Mechanical Equipment,FW 8',CED-R-Hussmann FW12,100.07870225157143,198.88449568997638,100.00000000000077,,,,
4925029,Mechanical Equipment,FW 8',CED-R-Hussmann FW12,100.07870225157144,206.89734774775076,100.00000000000077,,,,
4925109,Mechanical Equipment,Default,CED-R-Hussmann FWE,100.07870225156879,210.93134232487836,100.00000000000077,,,,
4925137,Mechanical Equipment,Default,CED-R-Hussmann FWE,114.24335506747184,178.80639905507434,100.00000000000077,,,,
4925138,Mechanical Equipment,FW 8',CED-R-Hussmann FW12,114.25898006747185,182.8156488030242,100.00000000000077,,,,
4925139,Mechanical Equipment,FW 8',CED-R-Hussmann FW12,114.25994659960548,190.86366235664303,100.00000000000077,,,,
4925140,Mechanical Equipment,FW 8',CED-R-Hussmann FW12,114.25994659960548,198.88449568997632,100.00000000000077,,,,
4925141,Mechanical Equipment,FW 8',CED-R-Hussmann FW12,114.2599465996055,206.8973477477507,100.00000000000077,,,,
4925142,Mechanical Equipment,Default,CED-R-Hussmann FWE,114.25994659960284,210.9313423248783,100.00000000000077,,,,
4925148,Mechanical Equipment,CED-R-Zero Zone - 2D Self Contained,CED-R-Zero Zone - 2D Self Contained,208.05086946043915,124.38654683537965,100.00000000000077,,,,
4925159,Mechanical Equipment,CED-R-Zero Zone - 2D Self Contained,CED-R-Zero Zone - 2D Self Contained,208.05086946043733,212.77196350204667,100.00000000000077,,,,
4925171,Mechanical Equipment,Default,CED-R-MEAL DEAL,244.50212080836297,212.45165100204704,100.00000000000077,,,,
4931452,Mechanical Equipment,Default,CED-R-Hussmann DSFM WCANOPY 8FTt,82.778695493431115,125.21413813867305,100.00000000000077,,,,
4937355,Mechanical Equipment,CED-R-Hussmann Q3-DV 8',CED-R-Hussmann Q3-DV 8',146.99020120699137,136.76425320976981,100.00000000000077,,,,
4939765,Mechanical Equipment,Default,CED-R-Carter Low Profile 12ft,157.58095390187091,69.127652627596802,100.00000000000077,,,,
4939786,Mechanical Equipment,Default,CED-R-Carter Low Profile 12ft,157.58095390187094,57.127652627596831,100.00000000000077,,,,
4939823,Mechanical Equipment,Default,CED-R-Carter Low Profile 12ft,170.47225031016461,69.127652627596817,100.00000000000077,,,,
4939830,Mechanical Equipment,Default,CED-R-Carter Low Profile 12ft,170.47225031016464,57.127652627596845,100.00000000000077,,,,
4939910,Mechanical Equipment,Default,CED-R-Carter Low Profile 12ft,153.16666666666961,69.127652627598792,100.00000000000077,,,,
