Count,Name,Position X,Position Y,Position Z,Rotation,#,#(1),#(2),CSV_CLEANED
1,F3,"-1333'-10 1/4""","81'-11 7/8""","0'-0""",0.00,,,,true
1,F3,"-1333'-10 1/4""","77'-11 7/8""","0'-0""",0.00,,,,true
1,F3,"-1363'-7 1/16""","123'-2 1/16""","0'-0""",0.00,,,,true
1,F3,"-1363'-7 1/16""","119'-2 1/16""","0'-0""",0.00,,,,true
1,F3,"-1358'-1 1/16""","123'-2 1/16""","0'-0""",0.00,,,,true
1,F3,"-1358'-1 1/16""","119'-2 1/16""","0'-0""",0.00,,,,true
1,F3,"-1344'-2 3/8""","81'-11 7/8""","0'-0""",0.00,,,,true
1,F3,"-1352'-0 3/16""","123'-2 1/16""","0'-0""",0.00,,,,true
1,F3,"-1342'-11 9/16""","104'-5 1/16""","0'-0""",0.00,,,,true
1,F3,"-1347'-5 9/16""","102'-8 1/16""","0'-0""",0.00,,,,true
1,F3,"-1336'-11 5/16""","108'-11 1/16""","0'-0""",0.00,,,,true
1,F3,"-1336'-11 1/4""","92'-3 13/16""","0'-0""",0.00,,,,true
1,F3,"-1364'-0 13/16""","104'-5 1/8""","0'-0""",0.00,,,,true
1,F3,"-1368'-0 13/16""","104'-5 1/8""","0'-0""",0.00,,,,true
1,F3,"-1364'-0 13/16""","108'-5 1/8""","0'-0""",0.00,,,,true
1,F3,"-1332'-4 1/4""","104'-5 1/8""","0'-0""",0.00,,,,true
1,F3,"-1336'-4 1/4""","104'-5 1/8""","0'-0""",0.00,,,,true
1,F3,"-1347'-5 9/16""","98'-6 13/16""","0'-0""",0.00,,,,true
